Name,Unit,Default,Description
areaSub3InedgeDarkRFDD,mm²,0,Area of the 3th largest subblob-fragment of Inner Edge Dark of RFDD
areaSub3InedgeDarkRFH,mm²,0,Area of the 3th largest subblob-fragment of Inner Edge Dark of RFH
areaSub3InedgeDarkRFL,mm²,0,Area of the 3th largest subblob-fragment of Inner Edge Dark of RFL
areaSub3InedgeDarkRR,mm²,0,Area of the 3th largest subblob-fragment of Inner Edge Dark of RR
areaSub3InedgeDarkRRDD,mm²,0,Area of the 3th largest subblob-fragment of Inner Edge Dark of RRDD
areaSub3InedgeDarkTFB,mm²,0,Area of the 3th largest subblob-fragment of Inner Edge Dark of TFB
areaSub3InedgeDarkTRB,mm²,0,Area of the 3th largest subblob-fragment of Inner Edge Dark of TRB
areaSub3InedgeDarkTRBH,mm²,0,Area of the 3th largest subblob-fragment of Inner Edge Dark of TRBH
areaSub3OutedgeBrightRFDD,mm²,0,Area of the 3th largest subblob-fragment of Outer Edge Bright of RFDD
areaSub3OutedgeBrightRFH,mm²,0,Area of the 3th largest subblob-fragment of Outer Edge Bright of RFH
areaSub3OutedgeBrightRFL,mm²,0,Area of the 3th largest subblob-fragment of Outer Edge Bright of RFL
areaSub3OutedgeBrightRR,mm²,0,Area of the 3th largest subblob-fragment of Outer Edge Bright of RR
areaSub3OutedgeBrightRRDD,mm²,0,Area of the 3th largest subblob-fragment of Outer Edge Bright of RRDD
areaSub3OutedgeBrightTFB,mm²,0,Area of the 3th largest subblob-fragment of Outer Edge Bright of TFB
areaSub3OutedgeBrightTRB,mm²,0,Area of the 3th largest subblob-fragment of Outer Edge Bright of TRB
areaSub3OutedgeBrightTRBH,mm²,0,Area of the 3th largest subblob-fragment of Outer Edge Bright of TRBH
areaSub3OutedgeDarkRFDD,mm²,0,Area of the 3th largest subblob-fragment of Outer Edge Dark of RFDD
areaSub3OutedgeDarkRFH,mm²,0,Area of the 3th largest subblob-fragment of Outer Edge Dark of RFH
areaSub3OutedgeDarkRFL,mm²,0,Area of the 3th largest subblob-fragment of Outer Edge Dark of RFL
areaSub3OutedgeDarkRR,mm²,0,Area of the 3th largest subblob-fragment of Outer Edge Dark of RR
areaSub3OutedgeDarkRRDD,mm²,0,Area of the 3th largest subblob-fragment of Outer Edge Dark of RRDD
areaSub3OutedgeDarkTFB,mm²,0,Area of the 3th largest subblob-fragment of Outer Edge Dark of TFB
